objectid,arrest_num,inc_num,charge_seq_num,charge_code,charge_desc,nibrs_code,nibrs_desc,arr_date,gender_desc,race_desc,ethnicity_desc,age,juvenile,hour_of_day,day_of_week,year,quarter,month,neighborhood,district
101115,20200038103,202044885,1,12314,ASSAULT & BATTERY (209A),13A,AGGRAVATED ASSAULT,2020-06-26,MALE,WHITE,NOT HISPANIC OR LATINX,18,YES,13,6,2020,2,6,Dorchester,B3
101116,20200033902,202022733,2,22212,DESTRUCTION OR INJURY OF PERSONAL PROPERTY,290,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2020-05-06,MALE,BLACK OR AFRICAN AMERICAN,HISPANIC OR LATINX,30,NO,2,4,2020,2,5,Dorchester,B2
101117,20200038402,202035651,1,31221,OPERATING AFTER REVOCATION OR SUSPENSION,NR,MOTOR VEHICLE VIOLATIONS,2020-05-23,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,20,NO,18,7,2020,2,5,Roxbury,B2
101118,20200034004,192092847,1,41313,"POSSESSION OF CLASS B, DRUGS",35A,DRUG/NARCOTIC VIOLATIONS,2020-03-14,MALE,WHITE,NOT HISPANIC OR LATINX,49,NO,8,7,2020,1,3,Dorchester,C6
101119,20200038402,202035651,2,31221,OPERATING AFTER REVOCATION OR SUSPENSION,NR,MOTOR VEHICLE VIOLATIONS,2020-05-23,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,20,NO,18,7,2020,2,5,Roxbury,B2
101120,20200012311,202007066,2,22212,DESTRUCTION OR INJURY OF PERSONAL PROPERTY,290,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2020-02-14,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,53,NO,19,5,2020,1,2,Dorchester,C11
101121,20200038402,202035651,3,31221,OPERATING AFTER REVOCATION OR SUSPENSION,NR,MOTOR VEHICLE VIOLATIONS,2020-05-23,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,20,NO,18,7,2020,2,5,Roxbury,B2
101122,20200012318,202041102,1,12623,PROBATION / PAROLE VIOLATION,90Z,ALL OTHER OFFENSES,2020-06-12,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,40,NO,18,6,2020,2,6,Hyde Park,E18
101123,20200038402,202035651,4,31221,OPERATING AFTER REVOCATION OR SUSPENSION,NR,MOTOR VEHICLE VIOLATIONS,2020-05-23,MALE,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINX,20,NO,18,7,2020,2,5,Roxbury,B2
101124,20200012352,2020-1342,1,12511,OTHER,Unknown,OTHER,2020-02-13,MALE,WHITE,NOT HISPANIC OR LATINX,40,NO,22,4,2020,1,2,Unknown,MBTA
